City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,williamsburg,37.2707,-76.7075,287.54,58,0,2.57,US,1706820260
316,yuzhno-kurilsk,44.0306,145.8556,265.03,64,100,9.83,RU,1706820540
317,gulu,2.7746,32.299,295.27,62,91,1.35,UG,1706820541
318,bibiani,6.4635,-2.3194,300.24,65,55,1.29,GH,1706820541
319,obihiro,42.9172,143.2044,263.69,75,6,3.28,JP,1706820542
320,hluti,-27.2167,31.6167,292.42,94,61,1.04,SZ,1706820542
321,usogorsk,63.4106,48.6872,268.52,95,100,5.87,RU,1706820543
322,castelo do piaui,-5.3222,-41.5525,303.72,48,100,1.87,BR,1706820543
323,mermoz boabab,14.7065,-17.4758,302.46,47,0,3.09,SN,1706820544
324,motygino,58.1831,94.7592,244.7,99,23,1.79,RU,1706820545
325,energodar,47.4987,34.6574,273.79,77,44,5.45,UA,1706820545
326,gillette,44.2911,-105.5022,289.88,27,0,5.81,US,1706820546
327,barra de santo antonio,-9.4047,-35.5072,302.75,83,29,4.41,BR,1706820546
328,port blair,11.6667,92.75,300.17,83,20,0.51,IN,1706820547
329,talnakh,69.4865,88.3972,257.71,87,100,7.57,RU,1706820547
330,saudarkrokur,65.7461,-19.6394,275.45,94,100,4.89,IS,1706820548
331,sirte,31.2089,16.5887,287.42,56,18,3.14,LY,1706820548
332,kimbo,10.4,-13.55,296.31,68,98,0.65,GN,1706820549
333,katsuren-haebaru,26.3369,127.8719,295.58,87,0,0.0,JP,1706820550
334,kodinsk,58.6881,99.1844,245.06,100,67,0.88,RU,1706820550
335,puerto baquerizo moreno,-0.9,-89.6,301.7,79,75,2.57,EC,1706820551
336,andalgala,-27.5819,-66.3165,300.33,34,24,6.8,AR,1706820551
337,al jawf,29.5,38.75,280.29,40,4,3.36,SA,1706820552
338,zhuanghe,39.7008,122.9911,260.92,71,5,2.87,CN,1706820552
339,kremenki,54.885,37.1261,274.15,100,100,4.02,RU,1706820553
340,paradip garh,20.3167,86.6167,295.13,82,0,3.62,IN,1706820553
341,breves,-1.6822,-50.4803,299.24,95,100,1.6,BR,1706820554
342,dryden,49.7833,-92.7503,269.31,74,0,3.09,CA,1706820555
343,puerto armuelles,8.2833,-82.8667,305.14,64,96,0.45,PA,1706820555
344,san antonio de pale,-1.4014,5.6325,300.94,76,70,0.72,GQ,1706820556
345,utrik,11.2278,169.8474,299.13,87,72,11.14,MH,1706820557
346,amungan,15.3652,119.9582,297.11,75,3,2.12,PH,1706820557
347,port douglas,-16.4833,145.4667,299.92,86,100,1.66,AU,1706820558
348,polyarnyy,69.1989,33.4478,272.45,95,100,7.77,RU,1706820558
349,tazovsky,67.4667,78.7,260.83,94,100,8.25,RU,1706820559
350,labrador city,52.9463,-66.9114,255.1,41,20,0.0,CA,1706820559
351,puerto san jose,13.9256,-90.8244,303.18,46,9,5.88,GT,1706820365
352,kaposvar,46.3667,17.8,280.07,89,100,3.8,HU,1706820560
353,joacaba,-27.1781,-51.5047,297.4,75,60,0.65,BR,1706820561
354,nizhneangarsk,55.7833,109.55,247.04,85,12,2.24,RU,1706820561
355,la passe,45.5549,-0.8967,284.28,96,100,2.56,FR,1706820562
356,poronaysk,49.2167,143.1167,248.51,96,72,1.55,RU,1706820562
357,weno,7.4515,151.8468,300.12,89,75,6.17,FM,1706820563
358,kavieng,-2.5744,150.7967,301.19,78,100,2.59,PG,1706820563
359,bel ombre,-4.6167,55.4167,301.06,78,40,3.6,SC,1706820564
360,tidjikja,18.5564,-11.4271,295.75,14,100,4.84,MR,1706820564
361,isiro,2.7739,27.616,294.08,41,98,0.79,CD,1706820565
362,nanzhou,29.3596,112.4024,272.77,95,100,5.26,CN,1706820565
363,georgetown,5.4112,100.3354,300.11,88,20,1.54,MY,1706820566
364,leava,-14.3,-178.1667,300.55,84,100,4.24,WF,1706820566
365,kingscliff,-28.2667,153.5667,297.46,94,11,0.0,AU,1706820567
366,saint-louis,16.3333,-15.0,299.18,12,100,4.54,SN,1706820568
367,banket,-17.3833,30.4,289.89,89,20,2.04,ZW,1706820568
368,kasese,0.1833,30.0833,297.04,61,100,0.66,UG,1706820569
369,diphu,25.8333,93.4333,284.73,95,32,0.76,IN,1706820569
370,kidal,18.4411,1.4078,291.91,17,45,5.34,ML,1706820570
371,banda aceh,5.5577,95.3222,298.99,85,100,2.56,ID,1706820356
372,chernyshevskiy,63.0128,112.4714,236.25,100,96,0.89,RU,1706820571
373,happy valley-goose bay,53.3168,-60.3315,257.32,39,20,4.12,CA,1706820572
374,bondowoso,-7.9135,113.8214,296.7,92,85,0.62,ID,1706820572
375,morrope,-6.5417,-80.0111,300.21,59,100,6.72,PE,1706820573
376,zaozersk,69.4005,32.4476,271.63,91,100,8.68,RU,1706820573
377,kavaratti,10.5669,72.642,300.61,66,100,4.7,IN,1706820574
